id,child_driv,age,children,yoj,income,house_val,status,gender,edu_level,job,distance,car_use,vehicle_val,vehicle_type,clm_freq,revoked,mvr_pts,claim_amount,vehicle_age,claim_ind,area,state_code
6921625014.0,0,67.0,0,14.0,53841.0,359229.0,z_No,Mal,Bachelors,None,71,Private,21970,Family,0,No,2,294,12.0,0,Highly Urban/ Urban,Berlin
1227899219.0,0,26.0,1,13.0,16999.0,265527.0,,Fem,z_High School,Clerical,50,Private,4010,unknown,4,No,7,292,12.0,0,Highly Urban/ Urban,Thueringen
1950523925.0,0,71.0,0,17.0,,323918.0,Yes,Mal,<High School,Teacher,77,Private,15440,Minivan,0,No,0,387,8.0,0,Highly Urban/ Urban,Bayern
1743448001.0,0,68.0,0,,115546.0,361705.0,Yes,Fem,PhD,Doctor,81,Private,18000,unknown,4,Yes,3,308,19.0,0,Highly Urban/ Urban,Bayern
7371333285.0,0,32.0,1,15.0,125861.0,70668.0,z_No,Fem,Bachelors,Teacher,91,Commercial,17430,Sports Car,0,No,0,3221,9.0,1,Highly Urban/ Urban,Bayern
4792605900.0,0,60.0,0,,19715.0,,Yes,Fem,<High School,Teacher,78,Private,8780,unknown,0,No,0,308,3.0,0,Highly Urban/ Urban,Bayern
7008254552.0,1,49.0,1,14.0,51375.0,530010.0,,Mal,z_High School,None,66,Private,18930,Minivan,3,No,2,6658,3.0,1,Highly Urban/ Urban,Bayern
6003885605.0,0,68.0,2,15.0,44446.0,111891.0,z_No,Fem,<High School,Teacher,75,Commercial,5900,unknown,0,No,2,203,12.0,0,z_Highly Rural/ Rural,Bayern
4892513439.0,1,58.0,2,,108921.0,480905.0,Yes,Mal,Bachelors,Teacher,89,Commercial,16970,Van,1,Yes,10,4312,9.0,1,Highly Urban/ Urban,Bayern
3577687613.0,0,23.0,0,13.0,64338.0,300339.0,z_No,Fem,Bachelors,Clerical,79,Private,11200,unknown,0,No,4,2734,3.0,1,Highly Urban/ Urban,Berlin
3857190601.0,0,71.0,0,10.0,107512.0,329784.0,z_No,Mal,Bachelors,Banking,93,Commercial,18510,Van,0,No,3,331,19.0,0,z_Highly Rural/ Rural,Bayern
5308762039.0,0,62.0,0,17.0,78060.0,106002.0,z_No,Fem,Masters,Nurse,60,Private,18300,Sports Car,0,No,0,6457,13.0,1,Highly Urban/ Urban,Thueringen
7990138122.0,0,50.0,0,8.0,53202.0,315972.0,Yes,Fem,Masters,Banking,81,Private,22420,Minivan,0,No,0,351,3.0,0,z_Highly Rural/ Rural,Nordrhein-Westfalen
6876791088.0,0,67.0,0,14.0,60122.0,386347.0,Yes,Mal,Bachelors,Manager,70,Commercial,17600,Family,4,Yes,5,321,11.0,0,Highly Urban/ Urban,Nordrhein-Westfalen
1665892909.0,0,49.0,0,14.0,131355.0,594789.0,z_No,Mal,PhD,,109,Commercial,28340,Panel Truck,0,No,5,1586,12.0,1,Highly Urban/ Urban,Berlin
7214001584.0,0,49.0,2,,22164.0,182559.0,z_No,Mal,z_High School,Clerical,119,Private,9230,Pickup,2,Yes,2,320,6.0,0,z_Highly Rural/ Rural,Bayern
6089195886.0,0,55.0,0,3.0,960.0,371864.0,Yes,Fem,<High School,Home Maker,93,Private,6000,unknown,2,No,5,3135,7.0,1,Highly Urban/ Urban,Bayern
4640321940.0,0,34.0,3,15.0,52444.0,410622.0,z_No,Fem,Bachelors,Clerical,88,Private,10590,unknown,0,No,2,201,15.0,0,z_Highly Rural/ Rural,Bayern
10200000000.0,0,68.0,0,15.0,88020.0,64779.0,z_No,Mal,z_High School,Manager,90,Private,15420,Minivan,2,No,6,4434,3.0,1,Highly Urban/ Urban,Bayern
