key,child_driv,age,children,yoj,income,house_val,status,gender,edu_level,job,distance,car_use,vehicle_val,vehicle_type,clm_freq,revoked,mvr_pts,claim_amount,vehicle_age,claim_ind,area,state_code
1,0,67,0,14,53841,359229,z_No,Mal,Bachelors,None,71,Private,21970,Family,0,No,2,294,12,0,Highly Urban/ Urban,Berlin
2,0,26,1,13,16999,265527,,Fem,z_High School,Clerical,50,Private,4010,unknown,4,No,7,292,12,0,Highly Urban/ Urban,Thueringen
3,0,71,0,17,,323918,Yes,Mal,<High School,Teacher,77,Private,15440,Minivan,0,No,0,387,8,0,Highly Urban/ Urban,Bayern
4,0,68,0,,115546,361705,Yes,Fem,PhD,Doctor,81,Private,18000,unknown,4,Yes,3,308,19,0,Highly Urban/ Urban,Bayern
5,0,32,1,15,125861,70668,z_No,Fem,Bachelors,Teacher,91,Commercial,17430,Sports Car,0,No,0,3221,9,1,Highly Urban/ Urban,Bayern
6,0,60,0,,19715,,Yes,Fem,<High School,Teacher,78,Private,8780,unknown,0,No,0,308,3,0,Highly Urban/ Urban,Bayern
7,1,49,1,14,51375,530010,,Mal,z_High School,None,66,Private,18930,Minivan,3,No,2,6658,3,1,Highly Urban/ Urban,Bayern
8,0,68,2,15,44446,111891,z_No,Fem,<High School,Teacher,75,Commercial,5900,unknown,0,No,2,203,12,0,z_Highly Rural/ Rural,Bayern
9,1,58,2,,108921,480905,Yes,Mal,Bachelors,Teacher,89,Commercial,16970,Van,1,Yes,10,4312,9,1,Highly Urban/ Urban,Bayern
10,0,23,0,13,64338,300339,z_No,Fem,Bachelors,Clerical,79,Private,11200,unknown,0,No,4,2734,3,1,Highly Urban/ Urban,Berlin
11,0,71,0,10,107512,329784,z_No,Mal,Bachelors,Banking,93,Commercial,18510,Van,0,No,3,331,19,0,z_Highly Rural/ Rural,Bayern
12,0,62,0,17,78060,106002,z_No,Fem,Masters,Nurse,60,Private,18300,Sports Car,0,No,0,6457,13,1,Highly Urban/ Urban,Thueringen
13,0,50,0,8,53202,315972,Yes,Fem,Masters,Banking,81,Private,22420,Minivan,0,No,0,351,3,0,z_Highly Rural/ Rural,Nordrhein-Westfalen
14,0,67,0,14,60122,386347,Yes,Mal,Bachelors,Manager,70,Commercial,17600,Family,4,Yes,5,321,11,0,Highly Urban/ Urban,Nordrhein-Westfalen
15,0,49,0,14,131355,594789,z_No,Mal,PhD,,109,Commercial,28340,Panel Truck,0,No,5,1586,12,1,Highly Urban/ Urban,Berlin
16,0,49,2,,22164,182559,z_No,Mal,z_High School,Clerical,119,Private,9230,Pickup,2,Yes,2,320,6,0,z_Highly Rural/ Rural,Bayern
17,0,55,0,3,960,371864,Yes,Fem,<High School,Home Maker,93,Private,6000,unknown,2,No,5,3135,7,1,Highly Urban/ Urban,Bayern
18,0,34,3,15,52444,410622,z_No,Fem,Bachelors,Clerical,88,Private,10590,unknown,0,No,2,201,15,0,z_Highly Rural/ Rural,Bayern
19,0,68,0,15,88020,64779,z_No,Mal,z_High School,Manager,90,Private,15420,Minivan,2,No,6,4434,3,1,Highly Urban/ Urban,Bayern
20,0,63,0,14,60905,315876,Yes,Mal,Masters,Nurse,87,Private,14190,Family,0,No,0,275,18,0,Highly Urban/ Urban,Bayern
21,0,39,3,16,34579,138987,Yes,Fem,Masters,None,72,Private,8300,unknown,0,No,2,329,22,0,Highly Urban/ Urban,Sachsen-Anhalt
22,0,51,2,15,20663,241022,Yes,Fem,<High School,Clerical,93,Private,17330,Minivan,2,No,0,243,9,0,Highly Urban/ Urban,Bayern
23,0,27,1,16,45037,724164,Yes,Fem,z_High School,Teacher,74,Commercial,8710,unknown,4,No,2,7206,3,1,Highly Urban/ Urban,Mecklenburg-Vorpomme
24,0,52,0,16,38174,,Yes,Mal,<High School,Teacher,97,Commercial,26560,Panel Truck,0,No,5,3986,3,1,Highly Urban/ Urban,Bayern
25,0,42,0,17,96834,365350,Yes,Fem,Masters,Nurse,81,Private,11130,unknown,1,No,7,290,16,0,Highly Urban/ Urban,Bayern
26,0,45,0,14,47241,23556,z_No,Fem,<High School,Teacher,74,Private,19700,Racing,0,No,1,295,7,0,Highly Urban/ Urban,Bayern
27,2,50,2,3,560,512241,Yes,Fem,z_High School,Home Maker,53,Private,5900,unknown,5,No,0,327,13,0,Highly Urban/ Urban,Mecklenburg-Vorpomme
28,0,61,0,17,,231075,Yes,Mal,Bachelors,Professional,52,Commercial,25660,Racing,3,No,4,210,14,0,Highly Urban/ Urban,Hessen
29,0,69,0,15,38900,206295,Yes,Fem,z_High School,Teacher,61,Commercial,11290,Sports Car,0,No,2,5647,3,1,Highly Urban/ Urban,Bayern
30,0,52,1,16,80566,414410,Yes,Fem,Bachelors,Professional,72,Private,16830,unknown,2,No,2,351,17,0,z_Highly Rural/ Rural,Bayern
31,0,32,1,12,32235,359609,Yes,Fem,z_High School,Clerical,71,Private,10030,unknown,2,No,4,4907,3,1,Highly Urban/ Urban,Thueringen
32,1,39,2,20,46048,684609,Yes,Mal,Bachelors,Manager,61,Private,22090,Minivan,0,No,2,342,14,0,Highly Urban/ Urban,Mecklenburg-Vorpomme
33,0,47,0,11,73153,247338,z_No,Fem,Bachelors,Clerical,71,Private,12220,unknown,2,No,3,276,14,0,Highly Urban/ Urban,Sachsen
34,0,43,2,3,,882014,Yes,Fem,Masters,Home Maker,60,Private,14130,unknown,2,Yes,4,377,14,0,z_Highly Rural/ Rural,Thueringen
35,0,85,0,15,34172,623663,Yes,Mal,<High School,Teacher,72,Commercial,24000,Panel Truck,2,No,7,5212,,1,Highly Urban/ Urban,Bayern
36,0,47,0,8,49804,340114,Yes,Mal,Bachelors,Clerical,75,Private,15880,Minivan,2,No,3,292,3,0,Highly Urban/ Urban,Brandenburg
37,2,51,2,15,131500,438419,z_No,Fem,Bachelors,Teacher,50,Commercial,27200,Minivan,0,No,0,329,11,0,z_Highly Rural/ Rural,Hessen
38,0,50,0,11,52238,359898,Yes,Fem,Bachelors,Professional,82,Private,1500,unknown,0,No,3,267,12,0,Highly Urban/ Urban,Bayern
39,0,66,0,10,93402,551118,z_No,Mal,Masters,,57,Commercial,25810,Panel Truck,2,No,7,261,17,0,Highly Urban/ Urban,Thueringen
40,0,43,0,13,36441,403065,Yes,Mal,Bachelors,Teacher,83,Commercial,16640,Van,0,No,0,333,15,0,Highly Urban/ Urban,Hessen
41,0,57,0,3,960,499613,Yes,Fem,PhD,Home Maker,110,Private,13220,Minivan,2,No,0,238,14,0,z_Highly Rural/ Rural,Bayern
42,0,41,0,15,115604,347314,z_No,Fem,PhD,Doctor,63,Private,17900,Minivan,0,No,2,392,16,0,Highly Urban/ Urban,Mecklenburg-Vorpomme
43,0,32,0,14,39114,751279,Yes,Fem,z_High School,Clerical,92,Private,12080,unknown,0,No,2,201,11,0,z_Highly Rural/ Rural,Bayern
44,0,40,2,20,146313,530676,Yes,Fem,Masters,,83,Commercial,29450,Van,0,No,2,306,17,0,Highly Urban/ Urban,Bayern
45,0,49,0,11,168429,306228,z_No,Fem,PhD,Doctor,67,Private,34150,Sports Car,0,No,3,286,3,0,Highly Urban/ Urban,Bayern
46,0,70,0,18,121958,455301,Yes,Fem,PhD,Doctor,55,Private,16270,unknown,2,No,4,352,13,0,Highly Urban/ Urban,Bayern
47,0,64,0,3,560,394153,z_No,Fem,z_High School,Student,93,Commercial,9280,unknown,0,No,1,341,8,0,z_Highly Rural/ Rural,Sachsen-Anhalt
48,0,58,0,10,15068,518232,Yes,Mal,Bachelors,Student,67,Commercial,6450,Pickup,0,No,4,296,9,0,Highly Urban/ Urban,Bayern
49,0,47,0,16,76698,288222,Yes,Fem,Bachelors,Manager,85,Private,23080,Sports Car,0,No,2,316,10,0,Highly Urban/ Urban,Bayern
50,0,63,0,13,33334,106002,z_No,Fem,z_High School,Clerical,89,Private,20120,Minivan,2,No,2,307,3,0,z_Highly Rural/ Rural,Mecklenburg-Vorpomme
51,0,46,0,14,58034,209974,Yes,Mal,Bachelors,Clerical,50,Commercial,29270,Panel Truck,0,No,3,251,7,0,Highly Urban/ Urban,Thueringen
52,0,48,1,15,27480,460721,Yes,Mal,Bachelors,Student,107,Commercial,4600,Minivan,2,No,2,307,7,0,Highly Urban/ Urban,Bayern
