Grade,Study,Score0,Score
6,1,64.489841799,68.820951383
6,1,72.070042073,76.532765994
6,1,65.776612959,75.556731307
,1,70.28526929,76.018030416
6,1,74.338838729,80.061680767
6,1,70.220744034,76.160559577
6,1,68.69042348,77.977018243
,1,72.675750284,79.689468987
6,1,64.893903333,69.3889214
6,1,66.603828233,72.779293227
,1,66.379133089,74.941292972
6,1,69.553077208,74.393345515
,1,66.928798764,75.526842274
6,1,70.164574934,79.932223362
6,1,68.838851773,76.029770323
6,1,71.139156959,78.840151756
,1,67.170216743,71.738086714
6,1,67.221144589,73.304907996
,1,64.771029749,69.138945656
6,1,70.882102927,76.109231762
6,1,72.919845769,78.797950148
6,1,71.229563589,78.302866361
6,1,64.395945859,65.051629536
6,1,72.687618981,75.979940887
6,1,66.978539176,70.759912814
,0,71.048932102,72.834897084
6,0,70.128123613,74.216723165
6,0,71.783209851,72.023709691
6,0,71.040626524,76.215269303
6,0,69.975731354,73.298035905
6,0,74.259096244,76.371394879
6,0,73.80566471,74.239654634
6,0,70.300471045,73.197471124
,0,68.252294661,71.929209793
6,0,68.966009742,70.54685951
6,0,71.837542439,75.179781057
6,0,71.287443524,75.094670577
6,0,70.763919226,70.930083693
6,0,74.674584265,78.095800075
,0,71.132549345,73.974416294
6,0,68.805758847,70.344954294
6,0,76.556852993,77.348050276
6,0,69.599680708,71.249708004
6,0,76.10431494,74.856824558
6,0,70.929017901,74.711181904
6,0,65.560799601,65.78315367
,0,71.349121353,69.6984792
6,0,73.13614631,73.648462058
,0,67.344436074,67.029165627
6,0,75.063430827,77.352922663
7,1,72.520987857,76.817259069
7,1,70.418136208,76.601113185
7,1,65.08090992,68.091612494
7,1,70.779313837,78.720462714
7,1,69.577730775,73.902664044
7,1,69.696372833,72.884221256
7,1,72.67179071,76.799349407
7,1,68.496799255,73.513437141
7,1,72.3088136,76.372398508
7,1,72.13628561,77.278486592
7,1,68.484085893,71.733300682
7,1,70.993822869,76.106190927
7,1,67.018613998,71.833465894
,1,66.359854481,74.601070493
7,1,65.130489697,71.730350278
7,1,70.047830427,76.231996062
7,1,68.786983889,75.157746807
7,1,69.980314432,76.179417635
7,1,69.330055103,73.199512889
7,1,69.494615696,74.39784915
7,1,72.279383147,76.531638635
7,1,71.295990708,74.722694668
7,1,66.477794772,74.147159333
7,1,65.178582236,70.668213418
7,1,75.448095273,81.228764634
7,0,69.232703354,69.559242283
7,0,70.244538161,71.444189529
7,0,70.84325334,73.804069552
7,0,71.131620439,72.200003144
,0,70.870383489,73.738357817
7,0,69.981132683,69.043562807
,0,69.435554634,67.736203077
7,0,68.504952826,71.630193728
7,0,63.478438502,65.023079576
7,0,72.785627245,71.884357699
7,0,71.778880779,73.296496898
,0,73.12838894,74.206560567
7,0,67.998651348,67.49687694
7,0,73.972431473,75.038454601
7,0,72.382260289,70.739336281
7,0,74.63269841,75.018752578
7,0,74.907728376,77.210093099
7,0,75.467712454,78.432383975
7,0,71.923325694,76.008100157
7,0,69.81404268,74.386978595
7,0,64.43701367,65.195528901
,0,71.316859978,72.150957469
7,0,73.638696515,77.780605591
7,0,74.508789839,75.988668434
7,0,68.415698625,73.635098668
8,1,71.432349103,82.574767705
8,1,64.529782395,70.869798433
8,1,70.431126943,81.088363768
8,1,70.592261379,77.790197253
8,1,67.013599397,73.478640661
8,1,67.793197241,74.282380786
8,1,72.242538557,81.324949351
8,1,76.406785463,90.974626216
8,1,70.474096886,75.729029014
,1,67.834769526,77.372964558
,1,76.711650613,85.501926738
8,1,67.884160685,76.397638896
8,1,64.463026875,70.061338814
8,1,77.831860526,82.556859017
8,1,66.185014593,73.464741518
8,1,67.243712222,76.479256036
8,1,67.701409145,72.990566048
8,1,73.314698243,82.677016834
8,1,72.237385336,79.122877541
8,1,70.519134078,75.4991612
,1,63.344502586,70.107378428
8,1,77.444217971,87.561163081
,1,71.423211539,78.101830695
8,1,74.13711901,83.802031904
8,1,72.805835469,81.600051538
8,0,68.515793323,72.352038211
8,0,67.321641379,71.601737463
8,0,71.153920247,75.049840281
8,0,70.064793579,71.569262839
8,0,69.433547356,74.031331042
8,0,73.690228055,75.39636106
8,0,72.377637702,73.367271933
8,0,63.95045534,66.448013076
8,0,69.06819255,68.56260739
8,0,68.986829978,72.314583538
8,0,64.617760774,66.622408483
8,0,68.793567321,73.625213214
8,0,72.292357053,76.567084953
8,0,68.692428015,67.866011803
8,0,71.44152971,73.348507866
8,0,76.323745688,75.56519226
8,0,71.422303809,72.540216519
8,0,73.506169571,74.409314804
8,0,67.931893686,70.1254759
,0,69.261838846,71.403066786
8,0,75.444918747,73.856794794
8,0,72.116549682,74.198591981
,0,68.422517103,73.219295556
8,0,71.584253841,75.299003643
8,0,70.732505824,67.913033055
